경찰청,경찰서,시간대,건수
대전광역시경찰청,대전유성경찰서,1,63
울산광역시경찰청,울산중부경찰서,1,24
울산광역시경찰청,울산남부경찰서,1,63
울산광역시경찰청,울산동부경찰서,1,30
울산광역시경찰청,울산울주경찰서,1,31
울산광역시경찰청,울산북부경찰서,1,25
경기도북부경찰청,의정부경찰서,1,85
경기도북부경찰청,고양경찰서,1,72
경기도북부경찰청,일산동부경찰서,1,56
경기도북부경찰청,남양주남부경찰서,1,60
경기도북부경찰청,파주경찰서,1,120
경기도북부경찰청,양주경찰서,1,45
경기도북부경찰청,동두천경찰서,1,20
경기도북부경찰청,구리경찰서,1,42
경기도북부경찰청,포천경찰서,1,35
경기도북부경찰청,가평경찰서,1,13
경기도북부경찰청,연천경찰서,1,6
경기도북부경찰청,일산서부경찰서,1,55
경기도북부경찰청,남양주북부경찰서,1,69
세종특별자치시경찰청,세종북부경찰서,1,20
세종특별자치시경찰청,세종남부경찰서,1,40
서울특별시경찰청,서울중부경찰서,2,11
서울특별시경찰청,서울남대문경찰서,2,10
서울특별시경찰청,서울종로경찰서,2,12
서울특별시경찰청,서울혜화경찰서,2,9
서울특별시경찰청,서울서대문경찰서,2,33
서울특별시경찰청,서울서부경찰서,2,15
서울특별시경찰청,서울용산경찰서,2,55
서울특별시경찰청,서울성북경찰서,2,18
서울특별시경찰청,서울강북경찰서,2,35
서울특별시경찰청,서울동대문경찰서,2,32
서울특별시경찰청,서울광진경찰서,2,64
서울특별시경찰청,서울마포경찰서,2,85
서울특별시경찰청,서울영등포경찰서,2,60
서울특별시경찰청,서울금천경찰서,2,26
서울특별시경찰청,서울성동경찰서,2,36
서울특별시경찰청,서울동작경찰서,2,25
서울특별시경찰청,서울중랑경찰서,2,45
서울특별시경찰청,서울관악경찰서,2,50
서울특별시경찰청,서울강남경찰서,2,86
서울특별시경찰청,서울강서경찰서,2,64
서울특별시경찰청,서울강동경찰서,2,41
서울특별시경찰청,서울송파경찰서,2,99
서울특별시경찰청,서울종암경찰서,2,15
서울특별시경찰청,서울구로경찰서,2,34
서울특별시경찰청,서울서초경찰서,2,42
서울특별시경찰청,서울양천경찰서,2,35
서울특별시경찰청,서울노원경찰서,2,55
